hhi,whi,hhi2,education,race,hispanic,experience,kidslt6,kids618,husby,region
yes,no,yes,12years,black,no,41.0,0.0,0.0,19.836,south
no,no,no,<9years,white,no,48.0,,,0.0,south
no,yes,yes,13-15years,,no,12.0,0.0,0.0,20.0,northcentral
yes,no,yes,12years,white,no,36.0,0.0,0.0,50.0,south
yes,no,yes,12years,white,no,9.0,1.0,0.0,44.0,south
no,yes,yes,12years,white,no,37.0,0.0,0.0,0.0,northcentral
yes,no,yes,16years,white,no,38.0,0.0,0.0,0.0,south
yes,yes,yes,12years,white,no,24.0,0.0,2.0,34.0,other
yes,no,yes,13-15years,white,no,9.0,1.0,0.0,65.0,west
yes,no,yes,16years,,no,13.0,3.0,1.0,30.0,northcentral
no,no,no,16years,,no,18.0,0.0,1.0,30.0,south
yes,no,yes,>16years,white,no,12.0,,,60.0,west
no,no,no,9-11years,white,no,47.5,,,0.0,other
yes,no,yes,<9years,white,no,15.0,0.0,3.0,23.0,northcentral
yes,no,yes,12years,,no,11.0,1.0,0.0,19.0,south
no,yes,yes,13-15years,white,no,5.0,0.0,0.0,14.0,west
yes,no,yes,16years,white,no,10.0,0.0,0.0,99.999,west
no,no,no,12years,white,no,24.0,0.0,1.0,16.5,northcentral
yes,yes,yes,12years,white,no,20.0,0.0,1.0,22.0,west
yes,yes,yes,12years,white,no,18.0,,,22.0,south
no,no,no,<9years,white,no,31.0,0.0,0.0,0.0,south
yes,no,yes,12years,white,no,23.0,0.0,3.0,43.0,northcentral
yes,yes,yes,16years,white,no,9.0,,,35.75,other
no,no,no,12years,white,no,36.0,0.0,0.0,0.0,south
yes,no,yes,13-15years,white,no,12.0,2.0,1.0,48.0,west
yes,yes,yes,13-15years,white,no,26.0,0.0,2.0,55.0,northcentral
yes,no,yes,13-15years,white,no,28.0,1.0,1.0,23.5,west
yes,no,yes,16years,white,no,28.0,0.0,0.0,103.999,south
no,yes,no,12years,white,no,9.0,1.0,0.0,0.0,northcentral
no,yes,no,12years,white,no,43.0,0.0,0.0,0.0,west
yes,yes,yes,13-15years,white,no,6.0,0.0,0.0,16.0,northcentral
yes,yes,yes,>16years,white,no,28.0,0.0,0.0,50.0,other
yes,no,yes,13-15years,white,no,19.0,,,41.5,south
no,yes,yes,12years,white,no,28.0,0.0,0.0,0.0,south
no,yes,yes,<9years,white,no,39.0,0.0,1.0,40.0,other
yes,no,yes,16years,white,no,23.0,0.0,1.0,80.0,south
yes,no,yes,16years,white,no,22.0,0.0,3.0,47.331,other
yes,no,yes,12years,,no,13.0,1.0,1.0,37.0,south
no,yes,no,12years,white,no,14.0,0.0,2.0,2.0,south
no,yes,no,12years,white,no,23.0,0.0,1.0,26.0,northcentral
yes,no,yes,13-15years,white,no,30.0,,,20.316,other
yes,no,yes,13-15years,white,no,30.0,0.0,0.0,40.0,northcentral
no,yes,no,<9years,white,no,11.0,2.0,1.0,0.0,south
no,yes,no,16years,white,no,17.0,0.0,2.0,29.7,northcentral
yes,yes,yes,12years,white,no,29.0,0.0,0.0,80.0,other
no,yes,no,16years,white,no,12.0,2.0,1.0,82.0,northcentral
no,no,no,16years,white,no,16.0,1.0,2.0,13.0,northcentral
no,yes,no,12years,white,no,19.0,2.0,0.0,25.0,other
yes,no,yes,9-11years,,yes,29.5,,,39.981,west
no,no,no,<9years,white,yes,34.0,0.0,0.0,21.0,west
no,no,no,13-15years,white,no,16.0,0.0,0.0,15.0,south
no,yes,no,16years,white,yes,18.0,0.0,2.0,17.0,south
yes,no,yes,16years,white,no,21.0,0.0,2.0,43.0,northcentral
no,no,no,12years,white,no,39.0,0.0,0.0,0.0,west
yes,no,yes,13-15years,white,no,18.0,0.0,2.0,22.0,northcentral
yes,no,yes,16years,white,no,8.0,0.0,0.0,35.0,northcentral
no,no,no,>16years,,no,20.0,0.0,2.0,52.0,south
no,yes,yes,16years,white,no,27.0,0.0,0.0,19.0,northcentral
yes,no,yes,13-15years,,no,13.0,1.0,0.0,29.9,west
no,no,no,12years,white,no,39.0,0.0,0.0,0.0,other
yes,no,yes,16years,white,no,9.0,1.0,1.0,27.5,northcentral
no,no,no,12years,black,no,20.0,2.0,2.0,20.0,west
yes,no,yes,16years,white,no,17.0,0.0,0.0,65.0,northcentral
yes,no,yes,13-15years,white,yes,20.0,0.0,3.0,68.0,west
no,no,no,<9years,white,no,22.0,0.0,0.0,0.0,south
no,yes,no,>16years,white,no,29.0,0.0,0.0,0.0,south
yes,no,yes,12years,white,no,45.0,0.0,0.0,0.0,south
yes,no,yes,9-11years,white,no,27.5,0.0,0.0,42.0,south
yes,no,yes,16years,white,no,33.0,0.0,0.0,35.0,other
yes,no,yes,12years,white,no,14.0,1.0,1.0,30.0,other
yes,no,yes,12years,white,no,7.0,1.0,1.0,24.5,west
no,no,no,13-15years,white,no,23.0,1.0,1.0,60.0,south
no,no,no,12years,white,no,35.0,0.0,0.0,20.0,south
yes,no,yes,>16years,white,no,34.0,0.0,0.0,99.999,other
no,yes,no,16years,white,yes,3.0,0.0,0.0,5.0,northcentral
no,yes,no,12years,,yes,12.0,2.0,1.0,34.0,west
no,no,no,12years,white,no,41.0,0.0,0.0,0.0,other
no,yes,no,13-15years,,no,31.0,0.0,2.0,22.8,northcentral
no,no,no,12years,black,no,8.0,1.0,0.0,15.0,south
yes,no,yes,16years,,no,17.0,0.0,2.0,99.999,west
yes,no,yes,16years,white,no,14.0,0.0,3.0,99.999,other
no,no,no,9-11years,white,no,28.5,,,18.0,west
no,yes,no,16years,white,no,24.0,0.0,0.0,34.0,south
no,no,no,12years,white,no,6.0,,,10.5,other
yes,no,yes,12years,white,yes,16.0,1.0,3.0,33.0,west
yes,no,yes,9-11years,,no,20.5,0.0,4.0,50.0,south
yes,no,yes,12years,white,no,16.0,1.0,1.0,39.0,south
no,no,yes,12years,white,no,36.0,0.0,0.0,6.0,northcentral
no,yes,no,9-11years,white,no,43.5,0.0,0.0,0.0,south
yes,no,yes,13-15years,white,no,25.0,0.0,2.0,60.0,west
no,no,no,12years,white,no,21.0,0.0,1.0,21.8,west
yes,no,yes,13-15years,white,no,22.0,0.0,1.0,30.0,northcentral
yes,no,yes,12years,white,no,18.0,0.0,4.0,24.976,west
no,no,no,<9years,white,no,9.0,0.0,0.0,17.0,south
yes,no,yes,12years,white,no,16.0,2.0,1.0,35.0,west
no,no,no,16years,,no,11.0,,,62.0,other
yes,yes,yes,16years,white,no,25.0,0.0,2.0,67.0,other
yes,no,yes,12years,white,no,22.0,1.0,2.0,18.0,west
no,no,no,12years,white,no,43.0,0.0,0.0,0.0,west
no,yes,no,13-15years,white,no,14.0,0.0,4.0,0.0,south
no,yes,no,12years,white,no,13.0,2.0,0.0,16.0,south
yes,no,yes,16years,white,no,19.0,0.0,3.0,26.0,northcentral
no,yes,no,13-15years,white,no,8.0,1.0,1.0,14.72,other
no,no,no,13-15years,white,no,13.0,1.0,4.0,18.0,west
no,yes,no,13-15years,white,no,18.0,0.0,2.0,25.0,other
no,yes,no,12years,white,no,30.0,0.0,0.0,0.0,other
no,yes,no,16years,white,no,21.0,0.0,1.0,0.0,northcentral
yes,no,yes,12years,white,no,11.0,1.0,1.0,20.0,other
no,yes,no,13-15years,white,no,21.0,0.0,0.0,0.9,south
no,yes,yes,12years,white,no,20.0,0.0,2.0,22.999,west
yes,no,yes,12years,white,no,12.0,0.0,0.0,16.0,south
yes,no,yes,16years,white,no,43.0,0.0,0.0,75.0,south
yes,no,yes,12years,white,no,21.0,0.0,0.0,23.0,northcentral
no,no,no,12years,other,no,18.0,0.0,0.0,18.0,south
yes,no,yes,13-15years,white,no,10.0,2.0,0.0,32.548,west
no,yes,no,16years,white,no,9.0,1.0,0.0,7.3,northcentral
yes,yes,yes,13-15years,white,no,20.0,0.0,0.0,68.0,west
no,yes,yes,16years,white,no,37.0,0.0,0.0,0.0,south
no,yes,no,16years,white,no,38.0,0.0,0.0,99.999,northcentral
no,yes,no,13-15years,white,no,17.0,0.0,1.0,0.0,other
no,no,no,12years,white,no,16.0,1.0,0.0,0.0,other
yes,yes,yes,>16years,white,no,19.0,0.0,2.0,28.0,south
no,no,yes,16years,black,no,22.0,0.0,1.0,4.0,south
no,no,no,13-15years,white,no,7.0,1.0,0.0,13.518,other
yes,no,yes,9-11years,black,no,43.5,0.0,0.0,0.0,northcentral
yes,no,yes,12years,white,no,33.0,0.0,0.0,99.999,northcentral
no,yes,no,16years,white,no,8.0,0.0,0.0,7.0,west
no,no,no,9-11years,white,no,14.5,2.0,3.0,0.0,other
no,yes,yes,12years,white,no,13.0,,,31.0,west
yes,no,yes,13-15years,,no,33.0,0.0,0.0,70.0,other
yes,no,yes,9-11years,white,yes,16.5,3.0,2.0,16.0,west
no,no,no,<9years,white,no,49.0,0.0,0.0,0.0,west
no,no,no,12years,black,no,43.0,0.0,0.0,18.5,west
no,yes,yes,13-15years,black,no,20.0,0.0,1.0,1.5,south
no,yes,yes,13-15years,white,no,9.0,,,19.745,west
no,yes,yes,13-15years,white,no,11.0,,,99.999,west
yes,no,yes,12years,white,no,13.0,1.0,0.0,0.0,south
no,yes,yes,12years,white,no,5.0,1.0,0.0,22.0,south
no,yes,no,12years,white,no,4.0,1.0,0.0,22.5,northcentral
no,yes,no,16years,,no,12.0,,,35.0,south
yes,no,yes,9-11years,white,no,21.5,1.0,2.0,36.0,other
no,yes,yes,13-15years,white,no,30.0,0.0,0.0,14.5,other
yes,no,yes,13-15years,white,no,17.0,2.0,0.0,40.0,northcentral
yes,no,yes,13-15years,white,no,39.0,0.0,0.0,40.0,northcentral
no,no,no,13-15years,white,no,17.0,1.0,1.0,19.0,west
no,no,yes,12years,white,no,19.0,0.0,2.0,65.0,northcentral
yes,no,yes,13-15years,white,no,25.0,0.0,0.0,26.0,northcentral
no,yes,no,>16years,white,no,36.0,0.0,0.0,5.2,other
no,no,no,16years,white,no,18.0,1.0,1.0,0.0,other
yes,no,yes,12years,white,no,40.0,0.0,0.0,30.0,northcentral
yes,no,yes,12years,white,no,32.0,0.0,0.0,5.5,northcentral
no,yes,yes,12years,white,no,5.0,0.0,0.0,55.0,west
no,yes,no,13-15years,white,no,13.0,1.0,1.0,50.0,northcentral
no,yes,no,>16years,white,no,17.0,0.0,3.0,4.17,northcentral
no,yes,no,16years,white,no,25.0,0.0,1.0,56.0,west
no,yes,no,12years,,no,9.0,0.0,0.0,5.6,south
no,yes,no,13-15years,white,no,26.0,0.0,0.0,0.0,south
no,no,no,<9years,white,no,49.0,0.0,0.0,0.6,west
no,no,no,>16years,black,no,16.0,1.0,1.0,25.883,south
yes,no,yes,16years,white,no,25.0,0.0,1.0,40.0,south
no,yes,no,16years,white,no,41.0,0.0,0.0,0.0,south
yes,no,yes,12years,white,no,42.0,0.0,0.0,0.0,northcentral
yes,no,yes,12years,white,no,20.0,0.0,3.0,0.0,northcentral
no,no,no,12years,white,no,21.0,0.0,0.0,26.0,south
yes,yes,yes,16years,white,no,40.0,0.0,0.0,50.0,west
yes,no,yes,12years,white,no,37.0,0.0,0.0,99.999,other
yes,no,yes,12years,,no,18.0,0.0,2.0,62.0,south
no,no,no,13-15years,white,no,40.0,0.0,0.0,40.0,west
yes,no,yes,12years,white,no,13.0,1.0,0.0,15.0,west
no,yes,no,12years,white,no,29.0,0.0,0.0,26.0,south
yes,yes,yes,12years,white,no,41.0,0.0,0.0,35.0,other
no,yes,no,12years,white,no,4.0,1.0,0.0,0.0,south
yes,no,yes,12years,white,no,43.0,,,1.12,northcentral
no,yes,no,9-11years,white,yes,23.5,,,16.0,south
no,yes,no,16years,,no,15.0,1.0,1.0,35.0,other
no,no,no,12years,white,yes,32.0,0.0,0.0,42.0,west
no,no,no,<9years,white,no,50.0,,,0.0,other
yes,yes,yes,12years,white,no,18.0,1.0,2.0,26.0,northcentral
no,yes,yes,16years,,no,6.0,0.0,0.0,9.0,northcentral
yes,yes,yes,12years,white,no,12.0,2.0,1.0,28.8,northcentral
yes,no,yes,12years,white,no,39.0,0.0,0.0,35.0,northcentral
yes,no,yes,13-15years,white,no,10.0,2.0,0.0,25.0,other
no,yes,yes,>16years,black,no,9.0,1.0,1.0,30.0,south
yes,yes,yes,13-15years,black,no,22.0,0.0,1.0,60.0,other
no,yes,yes,13-15years,white,no,9.0,0.0,0.0,30.0,south
no,yes,yes,12years,white,no,27.0,0.0,0.0,14.6,south
yes,no,yes,13-15years,white,no,14.0,0.0,2.0,30.0,northcentral
no,no,yes,13-15years,white,yes,0.0,0.0,0.0,15.0,west
no,no,no,<9years,white,yes,24.0,2.0,2.0,0.0,west
yes,no,yes,13-15years,,no,21.0,0.0,1.0,70.0,other
yes,no,yes,12years,white,no,44.0,,,0.0,south
no,no,no,<9years,white,yes,38.0,0.0,0.0,0.0,other
no,no,no,9-11years,white,no,5.5,1.0,0.0,0.75,south
no,no,no,13-15years,white,no,26.0,0.0,1.0,0.0,other
no,no,no,16years,white,no,40.0,0.0,0.0,99.999,west
yes,no,yes,12years,white,no,37.0,0.0,0.0,33.196,northcentral
yes,no,yes,12years,white,no,20.0,1.0,2.0,55.0,south
no,no,yes,13-15years,,no,11.0,0.0,2.0,17.852,west
yes,no,yes,16years,white,no,11.0,0.0,0.0,99.999,west
no,yes,no,12years,white,no,30.0,0.0,0.0,17.534,south
no,yes,no,12years,white,no,35.0,0.0,0.0,26.5,northcentral
yes,no,yes,16years,white,no,27.0,0.0,2.0,65.0,west
yes,yes,yes,13-15years,white,no,20.0,0.0,3.0,38.0,south
yes,no,yes,13-15years,white,no,14.0,2.0,0.0,31.467,west
yes,no,yes,12years,white,no,21.0,0.0,3.0,60.0,south
no,yes,yes,12years,white,no,7.0,1.0,0.0,28.967,south
yes,no,yes,12years,white,no,30.0,0.0,0.0,45.0,northcentral
yes,no,yes,12years,white,no,7.0,2.0,0.0,31.0,south
no,yes,yes,12years,white,no,44.0,0.0,0.0,31.014,northcentral
yes,no,yes,12years,white,no,16.0,0.0,1.0,43.0,northcentral
no,yes,yes,16years,white,no,11.0,1.0,1.0,29.0,northcentral
no,yes,no,12years,white,no,38.0,0.0,0.0,0.0,other
yes,no,yes,13-15years,white,no,10.0,2.0,0.0,23.0,northcentral
yes,no,yes,12years,white,no,36.0,,,24.336,northcentral
yes,no,yes,12years,white,no,36.0,,,40.0,northcentral
yes,no,yes,13-15years,white,no,21.0,0.0,2.0,72.0,other
no,no,no,12years,white,yes,7.0,,,12.8,west
yes,no,yes,12years,white,no,15.0,0.0,0.0,9.0,south
no,no,no,9-11years,white,no,39.5,0.0,0.0,13.0,south
yes,no,yes,12years,white,no,12.0,0.0,2.0,23.0,south
no,yes,no,<9years,white,yes,20.0,,,10.0,northcentral
yes,no,yes,16years,white,no,25.0,0.0,3.0,65.0,west
no,no,no,12years,white,no,14.0,0.0,1.0,0.0,south
no,yes,no,13-15years,white,no,28.0,0.0,1.0,36.916,south
no,no,no,13-15years,,yes,7.0,1.0,0.0,38.0,west
yes,yes,yes,16years,white,no,15.0,0.0,0.0,40.206,south
no,no,no,13-15years,white,no,10.0,,,55.0,south
yes,no,yes,9-11years,white,no,47.5,0.0,0.0,0.0,other
no,yes,no,13-15years,white,no,13.0,0.0,0.0,18.0,west
yes,no,yes,16years,white,no,25.0,0.0,0.0,99.999,other
yes,no,yes,9-11years,white,no,22.5,0.0,0.0,38.0,northcentral
yes,no,yes,13-15years,white,no,20.0,0.0,2.0,99.999,northcentral
no,no,yes,9-11years,white,no,34.5,0.0,0.0,16.0,northcentral
yes,yes,yes,13-15years,white,no,7.0,1.0,1.0,41.6,west
yes,no,yes,12years,white,no,13.0,1.0,1.0,55.0,northcentral
yes,no,yes,12years,white,no,20.0,3.0,0.0,9.63,south
no,yes,yes,13-15years,white,no,16.0,0.0,1.0,22.2,south
no,no,no,12years,white,no,5.0,4.0,0.0,9.526,south
no,yes,yes,12years,white,no,17.0,0.0,3.0,40.0,northcentral
no,yes,yes,13-15years,white,no,22.0,0.0,2.0,48.0,south
yes,no,yes,13-15years,white,no,39.0,0.0,0.0,40.0,west
yes,no,yes,13-15years,white,no,25.0,0.0,1.0,59.056,west
yes,no,yes,13-15years,black,no,10.0,1.0,0.0,14.8,other
yes,no,yes,12years,white,no,20.0,,,47.0,south
no,no,no,9-11years,white,no,46.5,0.0,0.0,0.0,south
no,no,no,<9years,,yes,46.0,0.0,0.0,0.0,south
no,no,no,12years,white,no,28.0,0.0,0.0,0.0,south
yes,no,yes,12years,,no,16.0,,,45.0,other
yes,no,yes,9-11years,white,no,10.5,2.0,1.0,21.0,northcentral
no,no,no,12years,white,no,37.0,0.0,0.0,0.0,northcentral
yes,no,yes,13-15years,white,no,16.0,1.0,1.0,30.0,northcentral
no,no,no,16years,white,no,24.0,0.0,0.0,0.0,other
no,no,no,12years,white,no,3.0,0.0,0.0,9.265,west
yes,no,yes,<9years,,no,44.0,0.0,0.0,22.2,south
yes,no,yes,12years,white,no,43.0,0.0,0.0,0.0,west
yes,yes,yes,13-15years,black,no,14.0,0.0,1.0,36.0,northcentral
no,no,no,12years,white,no,43.0,,,0.0,other
yes,no,yes,12years,white,no,12.0,2.0,0.0,33.0,northcentral
yes,no,yes,12years,white,no,15.0,0.0,2.0,28.2,other
no,yes,no,>16years,white,no,27.0,0.0,0.0,99.999,other
yes,no,yes,13-15years,white,no,15.0,,,24.0,northcentral
yes,no,yes,13-15years,white,no,15.0,0.0,3.0,60.0,other
no,yes,yes,9-11years,white,no,46.5,0.0,0.0,35.0,other
yes,no,yes,13-15years,white,no,19.0,0.0,2.0,13.2,northcentral
yes,no,yes,13-15years,white,no,15.0,1.0,1.0,35.0,northcentral
yes,no,yes,12years,white,yes,25.0,0.0,1.0,25.5,west
yes,no,yes,<9years,white,no,50.0,0.0,0.0,0.0,west
yes,no,yes,13-15years,white,no,17.0,2.0,1.0,45.589,other
yes,no,yes,13-15years,white,no,17.0,1.0,0.0,35.0,northcentral
no,yes,no,16years,white,no,8.0,1.0,0.0,0.0,other
yes,no,yes,13-15years,white,no,16.0,2.0,0.0,40.0,south
yes,no,yes,12years,white,no,40.0,0.0,0.0,50.0,northcentral
no,no,no,12years,white,no,46.0,0.0,0.0,6.6,west
yes,no,yes,12years,white,no,21.0,0.0,2.0,60.0,west
yes,no,yes,13-15years,white,no,35.0,0.0,1.0,99.0,other
no,no,no,<9years,white,no,5.0,1.0,0.0,0.3,south
no,yes,yes,>16years,white,no,6.0,0.0,0.0,22.0,other
yes,no,yes,12years,white,no,15.0,0.0,2.0,30.0,other
no,yes,no,12years,white,no,3.0,0.0,0.0,27.0,northcentral
no,no,no,12years,white,no,12.0,1.0,0.0,12.0,south
no,yes,no,12years,white,no,21.0,,,25.0,northcentral
no,no,no,12years,white,yes,7.0,1.0,0.0,7.5,south
yes,no,yes,9-11years,white,no,37.5,0.0,0.0,61.0,northcentral
no,yes,yes,13-15years,white,no,16.0,,,36.0,northcentral
no,yes,no,12years,,no,40.0,0.0,0.0,14.0,west
no,no,no,<9years,white,yes,17.0,3.0,1.0,6.6,west
no,no,no,>16years,white,no,39.0,0.0,0.0,0.0,south
yes,yes,yes,13-15years,white,no,11.0,2.0,0.0,25.2,south
no,yes,no,13-15years,white,no,39.0,,,63.0,other
yes,no,yes,12years,white,no,41.0,0.0,0.0,23.0,other
no,no,no,12years,black,no,18.0,1.0,0.0,3.7,other
yes,no,yes,12years,white,no,26.0,0.0,0.0,17.55,south
no,no,yes,12years,white,no,19.0,1.0,1.0,10.0,south
yes,no,yes,12years,white,no,35.0,0.0,1.0,60.0,other
yes,no,yes,12years,white,no,18.0,0.0,2.0,0.0,northcentral
no,no,no,<9years,black,no,50.0,0.0,0.0,0.0,south
no,yes,no,12years,white,no,27.0,0.0,2.0,26.848,other
yes,yes,yes,12years,white,no,15.0,0.0,0.0,31.0,northcentral
yes,no,yes,16years,white,no,14.0,1.0,1.0,60.999,south
no,no,no,12years,white,no,27.0,0.0,1.0,0.0,northcentral
yes,no,yes,12years,white,no,39.0,0.0,0.0,24.0,south
yes,yes,yes,12years,white,no,38.0,0.0,0.0,60.0,west
yes,no,yes,13-15years,,no,19.0,0.0,0.0,72.0,west
no,yes,yes,13-15years,white,no,17.0,0.0,0.0,28.0,northcentral
yes,no,yes,9-11years,,no,41.5,0.0,0.0,36.0,northcentral
yes,no,yes,12years,white,no,29.0,0.0,0.0,30.0,south
no,no,no,9-11years,white,no,17.5,0.0,1.0,5.988,northcentral
yes,no,yes,12years,,no,10.0,0.0,0.0,18.0,south
yes,no,yes,12years,white,no,44.0,0.0,0.0,18.983,northcentral
no,no,no,9-11years,white,no,41.5,0.0,0.0,0.0,south
yes,yes,yes,16years,,no,6.0,,,55.0,south
yes,no,yes,16years,white,no,8.0,,,40.0,south
no,no,no,16years,white,no,8.0,2.0,1.0,38.6,northcentral
no,no,no,9-11years,white,no,29.5,0.0,0.0,6.831,south
no,yes,yes,>16years,white,no,8.0,2.0,1.0,21.0,northcentral
yes,no,yes,13-15years,white,no,15.0,0.0,2.0,20.723,northcentral
no,no,no,12years,,no,40.0,0.0,0.0,35.4,northcentral
no,no,no,13-15years,white,yes,40.0,0.0,0.0,0.0,other
yes,no,yes,12years,white,no,23.0,0.0,3.0,72.0,northcentral
yes,yes,yes,13-15years,,no,26.0,0.0,0.0,44.0,northcentral
no,yes,no,9-11years,white,no,27.5,0.0,0.0,24.0,other
no,yes,no,>16years,white,no,38.0,0.0,0.0,0.0,northcentral
no,no,no,12years,white,no,43.0,,,0.0,northcentral
no,no,no,12years,white,no,11.0,0.0,2.0,9.404,other
yes,yes,yes,13-15years,white,no,26.0,0.0,0.0,40.0,northcentral
no,no,no,13-15years,white,no,11.0,2.0,0.0,8.6,south
yes,yes,yes,16years,white,no,15.0,1.0,0.0,99.999,other
no,yes,no,13-15years,white,no,3.0,0.0,0.0,18.0,south
yes,no,yes,12years,white,no,16.0,1.0,3.0,49.0,west
no,yes,no,>16years,white,no,31.0,,,0.0,other
no,no,yes,<9years,white,no,35.0,0.0,0.0,9.6,south
no,no,no,12years,white,yes,15.0,0.0,2.0,0.0,west
no,yes,no,9-11years,white,no,30.5,0.0,0.0,9.063,west
yes,no,yes,16years,white,no,19.0,0.0,2.0,90.0,west
yes,no,yes,12years,white,no,42.0,0.0,0.0,49.0,south
no,no,no,12years,white,no,23.0,0.0,0.0,0.0,northcentral
yes,no,yes,16years,white,no,25.0,0.0,2.0,99.999,northcentral
yes,no,yes,12years,white,no,18.0,1.0,2.0,6.6,west
no,no,no,9-11years,white,no,27.5,0.0,2.0,0.0,other
no,yes,no,16years,white,no,16.0,0.0,0.0,26.0,other
no,yes,yes,13-15years,white,no,18.0,0.0,0.0,45.0,northcentral
yes,no,yes,16years,white,no,18.0,2.0,0.0,0.0,other
yes,no,yes,9-11years,white,no,44.5,0.0,0.0,0.0,other
no,yes,no,12years,white,no,16.0,1.0,1.0,26.0,west
no,no,yes,13-15years,white,no,11.0,0.0,1.0,28.0,south
no,no,no,12years,,no,3.0,0.0,0.0,14.0,other
no,yes,no,16years,white,no,14.0,2.0,0.0,0.0,other
no,yes,yes,12years,,no,14.0,,,18.0,other
no,no,no,9-11years,white,no,40.5,0.0,0.0,0.0,south
no,no,no,12years,white,no,17.0,1.0,2.0,50.0,northcentral
yes,no,yes,12years,white,no,38.0,0.0,0.0,0.0,south
yes,yes,yes,9-11years,white,no,44.5,0.0,0.0,0.0,other
yes,no,yes,16years,white,no,21.0,0.0,1.0,84.5,west
yes,no,yes,13-15years,white,no,32.0,0.0,0.0,40.0,south
yes,no,yes,13-15years,white,no,20.0,,,47.0,south
yes,no,yes,16years,white,no,41.0,0.0,0.0,0.0,other
yes,no,yes,12years,white,no,38.0,0.0,0.0,36.0,west
no,yes,yes,12years,white,no,35.0,0.0,0.0,51.0,west
no,no,no,16years,,no,1.0,0.0,0.0,23.0,south
no,no,no,13-15years,white,no,16.0,0.0,0.0,20.5,south
yes,no,yes,12years,white,no,23.0,0.0,0.0,40.0,west
yes,yes,yes,13-15years,white,no,24.0,,,35.0,west
yes,no,yes,12years,white,no,14.0,0.0,1.0,12.5,south
no,yes,yes,13-15years,white,no,8.0,0.0,0.0,15.037,south
yes,no,yes,13-15years,white,no,3.0,,,27.0,west
no,yes,no,16years,white,no,21.0,0.0,2.0,0.0,west
yes,yes,yes,16years,white,no,21.0,0.0,2.0,0.0,south
no,no,no,9-11years,white,yes,21.5,1.0,0.0,9.1,west
no,yes,no,13-15years,,no,15.0,1.0,0.0,0.0,south
no,yes,yes,13-15years,white,no,24.0,0.0,1.0,42.0,south
no,yes,no,9-11years,white,no,41.5,0.0,0.0,28.0,other
no,yes,no,13-15years,white,no,23.0,0.0,2.0,12.406,west
yes,yes,yes,16years,white,no,20.0,0.0,1.0,43.0,other
no,no,no,16years,,no,10.0,1.0,0.0,32.0,northcentral
yes,yes,yes,12years,white,yes,21.0,0.0,2.0,23.348,northcentral
yes,no,yes,13-15years,white,no,11.0,0.0,2.0,24.284,other
yes,no,yes,13-15years,,no,25.0,0.0,2.0,49.0,south
no,yes,no,16years,white,no,15.0,,,21.988,west
no,yes,no,12years,,no,22.0,1.0,1.0,0.0,south
yes,no,yes,13-15years,white,no,20.0,1.0,2.0,30.0,west
no,no,no,13-15years,white,no,13.0,1.0,2.0,16.4,west
yes,no,yes,12years,white,no,21.0,0.0,2.0,48.0,other
no,no,no,13-15years,white,no,5.0,0.0,0.0,9.0,south
no,yes,no,>16years,white,no,24.0,0.0,2.0,52.0,other
no,no,no,<9years,white,no,36.0,0.0,2.0,0.0,south
no,yes,no,16years,white,no,8.0,0.0,0.0,6.7,northcentral
no,yes,yes,16years,white,no,30.0,,,40.0,west
yes,no,yes,9-11years,white,no,34.5,0.0,0.0,31.0,west
no,yes,no,16years,white,no,26.0,0.0,0.0,70.0,west
yes,no,yes,13-15years,white,no,36.0,0.0,0.0,61.0,other
no,yes,yes,12years,white,no,41.0,0.0,0.0,0.0,west
no,yes,no,9-11years,white,no,25.5,0.0,3.0,5.0,south
yes,yes,yes,16years,white,no,20.0,1.0,1.0,50.0,northcentral
yes,yes,yes,13-15years,white,no,27.0,0.0,2.0,44.26,northcentral
no,no,no,12years,white,no,4.0,0.0,0.0,15.0,west
no,yes,no,>16years,white,no,18.0,0.0,0.0,40.2,west
yes,yes,yes,12years,white,no,14.0,0.0,1.0,9.607,south
no,no,no,<9years,,yes,22.0,3.0,5.0,0.0,west
yes,no,yes,13-15years,white,no,30.0,0.0,0.0,99.999,northcentral
no,no,no,12years,white,no,5.0,2.0,1.0,8.0,south
no,no,no,12years,white,no,31.0,0.0,0.0,0.0,south
yes,no,yes,12years,white,no,18.0,1.0,2.0,24.8,other
yes,yes,yes,13-15years,white,no,18.0,2.0,0.0,62.0,south
yes,no,yes,16years,white,no,39.0,0.0,0.0,26.0,other
yes,no,yes,13-15years,white,no,10.0,0.0,2.0,29.979,northcentral
yes,no,yes,16years,black,no,17.0,0.0,0.0,40.0,northcentral
no,no,no,12years,white,no,39.0,,,0.0,south
yes,yes,yes,>16years,white,no,22.0,0.0,1.0,99.999,other
yes,no,yes,12years,white,no,9.0,0.0,0.0,25.0,northcentral
no,no,no,<9years,white,yes,37.0,0.0,1.0,0.0,west
yes,yes,yes,16years,white,no,15.0,2.0,0.0,52.0,other
no,no,yes,16years,white,no,2.0,,,14.5,northcentral
no,yes,yes,13-15years,white,no,29.0,0.0,0.0,18.816,west
no,no,no,12years,white,no,16.0,0.0,3.0,12.7,south
no,yes,no,12years,white,no,9.0,1.0,0.0,13.0,northcentral
yes,no,yes,12years,other,no,21.0,0.0,1.0,35.0,other
no,yes,yes,12years,white,yes,23.0,0.0,0.0,27.0,other
yes,no,yes,12years,white,no,28.0,0.0,4.0,78.0,other
